"description","dataelement_formname","dataelement_uid",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 6 . Is the AVAILABILITY of  Medical Attendants at the duty station in accordance with the establishment [6]","SNu3XeGLYVL",
"Check attendance register for the number of staff that have reported for duty in the past month for Dental Officer","2.1.3 7. Is the AVAILABILITY of Dental Officer at the duty station in accordance with the establishment [1]?","f264N1x05Ro",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 7 . Is the AVAILABILITY of  Dental Therapist at the duty station in accordance with the establishment [1]","fKbnnz24z7R",
"Check attendance register for the number of staff that have reported for duty in the past month for Assistant Dental Officer","2.1.3 8. Is the AVAILABILITY of Assistant Dental Officer at the duty station in accordance with the establishment [1]?","eKYLhVgSnTb",
"Check attendance register for the number of staff that have reported for duty in the past month for Assistant Dental Officer","2.1.3 8. Is the AVAILABILITY of Assistant Dental Officer at the duty station in accordance with the establishment [1]?","eKYLhVgSnTb",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 8 . Is the AVAILABILITY of  Pharmaceutical Technologist at the duty station in accordance with the establishment [1]","tKT709mloNf",
"Check attendance register for the number of staff that have reported for duty in the past month for Dental Therapist","2.1.3 9. Is the AVAILABILITY of  Dental Therapist at the duty station in accordance with the establishment [1]?","tPhuxr6aClc",
"Check attendance register for the number of staff that have reported for duty in the past month for Dental Therapist","2.1.3 9. Is the AVAILABILITY of  Dental Therapist at the duty station in accordance with the establishment [1]?","tPhuxr6aClc",
"Check attendance register for the number of staff that have reported for duty in the past month compared with establishment (shown in brackets)","2.1.3 9 . Is the AVAILABILITY of Laboratory Technologis at the duty station in accordance with the establishment [1]","celExNd99c4",
"Check for attendance register well completed with time in, time out and signature for all healthcare workers","2.1.4 1. Is staff attendance and absenteeism monitored?","k9rb2AXBFRc",
"Check for attendance register well completed with time in, time out andsignature for all healthcare workers","2.1.4 1. Is staff attendance andabsenteeism monitored?","GUoYTEXMeEu",
"Check for attendance register well completed with time in, time out andsignature for all healthcare workers","2.1.4 1. Is staff attendance andabsenteeism monitored?","GUoYTEXMeEu",
"Check for attendance register well completed with time in, time out andsignature for all healthcare workers  Partial","2.1.4 1. Is staff attendance andabsenteeism monitored?","mpfyx5qjTAi",
,"2.1.4 2. Does the facility has updated health worker skill profile for each cadre that includes on job training undergone by each cadre","YfjXcNEZXQ5",
,"2.1.4 2. Does the facility has updated health worker skill profile for each cadre that includes on job training undergone by each cadre","YfjXcNEZXQ5",
,"2.1.4 2. Does the facility has updated health worker skill profile for each cadre that includes on job training undergone by each cadre","KFrdJcPgf1m",
,"2.1.4 2. Does the facility has updated health worker skill profile for each cadre that includes on job training undergone by each cadre.","u4Cm3RNDe4T",
"Check for a report on training needs?","2.1.4 3. Has there been a training needs assessment?","wEAkdEkIccR",
"Check for a report on training needs?","2.1.4 3. Has there been a training needs assessment?","wEAkdEkIccR",
"Check for a report on training needs?","2.1.4 3. Has there been a training needs assessment?","DSGj8uiyCUW",
"Check for a report on training needs.","2.1.4 3. Has there been a training needs assessment?","sKYvLyqjjtx",
"Interview two most recently deployed staff, or verify report of orientation of those staff.","2.1.4 4. Have the staff been oriented?","CeFgMR2flGz",
"Interview the most recently deployed staff,or verify report of orientation of that member of staff.  Select option","2.1.4 4.Have the staff been oriented?","UEvjVny3n19",
"Interview the most recently deployed staff,or verify report of orientation of that member of staff.","2.1.4 4.Have the staff been oriented?","Ix6JpAySCCk",
"Interview the most recently deployed staff,or verify report of orientation of that member of staff.  Select option","2.1.4 4.Have the staff been oriented?","UEvjVny3n19",
"Ask Facility Manager (in-charge)  whether a Management Team has been established","2.1.5 1. Is there a Health Facility Management Team ?","QiMRGkjSZ9j",
"Ask Facility Manager (in-charge) whether a Management Team has been established","2.1.5 1. Is there a Health Facility Management Team?","g6TrNV8nte9",
"Ask Facility Manager (in-charge) whether a Management Team has been established","2.1.5 1. Is there a Health Facility Management Team?","g6TrNV8nte9",
"Ask Facility Manager (in-charge) whether a Management Team has been established","2.1.5 1. Is there a Health Facility Management Team?","t1rC2bxluEg",
"Check for appointment letters and terms of reference for two most recently deployed staff.","2.1.5 2. Has the Health Facility Management Team been formally appointed, with Terms of Reference?","IWlhXdQPkNz",
"Check for appointment letters and terms of reference for two most recently deployed staff.","2.1.5 2. Has the Health Facility Management Team been formally appointed, with Terms of Reference?","KLalX12LFQh",
"Check for appointment letters and terms of reference for two most recently deployed staff.","2.1.5 2. Has the Health Facility Management Team been formally appointed, with Terms of Reference?","qBJJFO4KQ08",
"Check for appointment letters and terms of reference for two most recently deployed staff.","2.1.5 2. Has the Health Facility Management Team been formally appointed, with Terms of Reference?","qBJJFO4KQ08",
"Check if schedule of meetings is available","2.1.5 3. Does the Management Team meet on a regular schedule?","bO1uLUx1KAC",
"Check if schedule of meetings is available","2.1.5 3. Does the Management Team meet on a regular schedule?","NUC2BUzpa4y",
"Check if schedule of meetings is available","2.1.5 3. Does the Management Team meet on a regular schedule?","NUC2BUzpa4y",
"Check if schedule of meetings is available","2.1.5 3. Does the Management Team meet on a regular schedule?","TPZVobVJ98U",
"Check if there are minutes available for the past three months, and ask whether a copy of the report is sent to CHMT.","2.1.5 4. Are Management Team meetings conducted at least monthly, and recorded?","nzQMRYteRvY",
"Checkif there are minutes available for the past three months, and ask whether a copy of the report is sent to CHMT.","2.1.5 4. Are Management Team meetings conducted at least monthly, and recorded?","kdYUAYPsnMg",
"Checkif there are minutes available for the past three months, and ask whether a copy of the report is sent to CHMT.","2.1.5 4. Are Management Team meetings conducted at least monthly, and recorded?","dXtaAWaCxc0",
"Checkif there are minutes available for the past three months, and ask whether a copy of the report is sent to CHMT.","2.1.5 4. Are Management Team meetings conducted at least monthly, and recorded?","kdYUAYPsnMg",
,"2.1.6 1. Is there a Quality Improvement Team (QIT)?","gYkj88dsRCO",
"Ask Facility Manager (in-charge)  whether a Management Team has been established  Yes","2.1.6 1. Is there a Quality Improvement Team (QIT)?","sij0BwkGZqG",
"Ask Facility Manager (in-charge) whether a QIT Team has been established","2.1.6 1. Is there a Quality Improvement Team(QIT)?","ssEQbYessrC",
"Ask Facility Manager (in-charge) whether a QIT Team has been established","2.1.6 1. Is there a Quality Improvement Team(QIT)?","Ml4qMYb1FPQ",
"Ask Facility Manager (in-charge) whether a QIT Team has been established","2.1.6 1. Is there a Quality Improvement Team(QIT)?","Ml4qMYb1FPQ",
"Check if schedule of meetings is available","2.1.6 2. Does the QIT meet on a regular schedule?","HEjQgev40IG",
